Date,Value
2025,  37.14
2024,  31.97
2023,  28.34
2022,  36.94
2021,  34.51
2020,  30.99
2019,  28.38
2018,  33.31
2017,  28.06
2016,  24.21
2015,  26.49
2014,  24.86
2013,  21.90
2012,  21.21
2011,  22.98
2010,  20.53
2009,  15.17
2008,  24.02
2007,  27.21
2006,  26.47
2005,  26.59
2004,  27.66
2003,  22.90
2002,  30.28
2001,  36.98
2000,  43.77
1999,  40.57
1998,  32.86
1997,  28.33
1996,  24.76
1995,  20.22
1994,  21.41
1993,  20.32
1992,  19.77
1991,  15.61
1990,  17.05
1989,  15.09
1988,  13.90
1987,  14.92
1986,  11.72
1985,  10.00
1984,  9.89
1983,  8.76
1982,  7.39
1981,  9.26
1980,  8.85
1979,  9.26
1978,  9.24
1977,  11.44
1976,  11.19
1975,  8.92
1974,  13.53
1973,  18.71
1972,  17.26
1971,  16.46
1970,  17.09
1969,  21.19
1968,  21.51
1967,  20.43
1966,  24.06
1965,  23.27
1964,  21.63
1963,  19.26
1962,  21.20
1961,  18.47
1960,  18.34
1959,  17.98
1958,  13.79
1957,  16.72
1956,  18.29
1955,  15.99
1954,  12.00
1953,  13.01
1952,  12.53
1951,  11.90
1950,  10.75
1949,  10.25
1948,  10.42
1947,  11.47
1946,  15.62
1945,  11.96
1944,  11.05
1943,  10.15
1942,  10.10
1941,  13.90
1940,  16.38
1939,  15.60
1938,  13.51
1937,  21.62
1936,  17.09
1935,  11.50
1934,  13.03
1933,  8.73
1932,  9.31
1931,  16.71
1930,  22.31
1929,  27.08
1928,  18.81
1927,  13.19
1926,  11.34
1925,  9.69
1924,  8.07
1923,  8.15
1922,  6.29
1921,  5.12
1920,  5.99
1919,  6.10
1918,  6.64
1917,  10.99
1916,  12.54
1915,  10.36
1914,  11.64
1913,  13.15
1912,  13.80
1911,  14.05
1910,  14.54
1909,  14.77
1908,  11.90
1907,  17.22
1906,  20.13
1905,  18.46
1904,  15.86
1903,  20.32
1902,  22.34
1901,  20.97
1900,  18.67
1899,  22.92
1898,  19.25
1897,  17.03
1896,  16.58
1895,  16.51
1894,  15.74
1893,  17.65
1892,  19.01
1891,  15.43
1890,  17.22
1889,  15.81
1888,  15.36
1887,  17.52
1886,  16.70
1885,  13.13
1884,  14.43
1883,  15.27
1882,  15.68
1881,  18.47
1880,  14.87
1879,  12.87
1878,  10.57
1877,  9.52
1876,  11.79
1875,  11.41
1874,  11.33
1873,  12.25
1872,  11.90